Wall time,Step,Value
1603160619.8791344,10001,-228.9649658203125
1603160787.0626752,20001,-189.54725646972656
1603161090.2211266,30001,-158.19052124023438
1603161342.070299,40001,-145.31809997558594
1603161451.689544,50001,-136.9429473876953
1603161558.9838262,60001,-122.85847473144531
1603161667.3798022,70001,-106.57166290283203
1603161774.269437,80001,-94.75672912597656
1603161872.5624754,90001,-89.05514526367188
1603161974.6651924,100001,-82.63805389404297
1603162088.7961743,110001,-72.94827270507812
1603162192.6217418,120001,-53.36944580078125
1603162301.6459086,130001,-35.40663146972656
1603162405.3911989,140001,-13.007523536682129
1603162510.004838,150001,-0.738227128982544
1603162609.3833683,160001,22.045751571655273
1603162702.6419384,170001,31.603485107421875
1603162797.4152203,180001,56.699588775634766
1603162901.5432792,190001,69.59101104736328
1603162995.8829932,200001,69.53147888183594
1603163101.6629481,210001,83.13501739501953
1603163191.611159,220001,90.89031982421875
1603163275.238532,230001,98.6537857055664
1603163340.2056267,240001,117.90475463867188
1603163402.7067885,250001,130.0493927001953
1603163476.6208308,260001,142.47586059570312
1603163539.9908376,270001,136.42437744140625
1603163597.4239347,280001,146.79539489746094
1603163654.0092316,290001,144.21864318847656
1603163711.2298524,300001,158.28843688964844
1603163762.0904691,310001,166.97528076171875
1603163818.0515509,320001,167.7849884033203
1603163869.0711699,330001,177.23060607910156
1603163917.6649854,340001,159.14010620117188
1603163964.6770592,350001,180.43536376953125
1603164015.1838615,360001,192.1597137451172
1603164063.4820137,370001,189.5181427001953
1603164108.51523,380001,172.38882446289062
1603164150.8539987,390001,127.04405212402344
1603164191.5044308,400001,116.5564956665039
1603164232.4466374,410001,106.06015014648438
1603164272.929526,420001,50.02678298950195
1603164314.2892797,430001,10.924101829528809
1603164356.5024767,440001,15.80754566192627
1603164399.474339,450001,-13.325536727905273
1603164441.9254043,460001,-10.68419361114502
1603164484.3619595,470001,17.632564544677734
1603164526.6211753,480001,28.706523895263672
1603164573.1926847,490001,49.63920974731445
