Wall time,Step,Value
1603081998.7770867,10001,-220.49603271484375
1603082085.9610696,20001,-183.99673461914062
1603082222.9981592,30001,-162.8944854736328
1603082355.8402908,40001,-152.10084533691406
1603082483.301572,50001,-128.99171447753906
1603082615.853966,60001,-114.63613891601562
1603082731.3479965,70001,-104.04022216796875
1603082852.3353028,80001,-84.03971862792969
1603082970.8245232,90001,-65.16028594970703
1603083082.1924186,100001,-41.027530670166016
1603083201.8218458,110001,-22.682588577270508
1603083312.077966,120001,0.22037528455257416
1603083413.7899706,130001,2.1439003944396973
1603083521.2990017,140001,11.27534008026123
1603083624.3805559,150001,21.928634643554688
1603083731.963113,160001,33.07713317871094
1603083828.582713,170001,39.16559600830078
1603083920.029734,180001,59.96628952026367
1603083992.697164,190001,78.65252685546875
1603084069.94102,200001,83.51615142822266
1603084127.6567414,210001,80.53234100341797
1603084193.4764059,220001,68.15476989746094
1603084278.1111453,230001,63.496971130371094
1603084348.5697236,240001,55.35307693481445
1603084413.7609167,250001,69.19775390625
1603084471.6275208,260001,87.5128402709961
1603084530.4140327,270001,91.0356216430664
1603084596.3177571,280001,104.18610382080078
1603084657.281284,290001,119.6338882446289
1603084728.4253361,300001,136.09957885742188
1603084797.8325417,310001,123.85173034667969
1603086363.7189243,320001,101.84188079833984
1603086444.1855552,330001,94.11592102050781
1603086557.9629698,340001,106.83274841308594
1603086665.3159764,350001,116.32929992675781
1603086794.4147763,360001,121.81497192382812
1603086920.3333843,370001,124.68428039550781
1603087036.9039152,380001,128.44393920898438
1603087178.8402116,390001,136.9705810546875
1603087337.7594368,400001,123.91790771484375
1603087517.4228804,410001,121.8801498413086
1603087681.2664728,420001,128.53817749023438
1603087833.7426093,430001,121.74127197265625
1603088017.2128804,440001,129.07180786132812
1603088190.3069923,450001,145.42825317382812
1603088338.5605123,460001,116.48418426513672
1603088503.5999088,470001,71.78134155273438
1603088675.0682,480001,67.92109680175781
1603088823.9225938,490001,98.74543762207031
