Wall time,Step,Value
1603161007.8140035,10001,-210.82460021972656
1603161232.3397846,20001,-167.49807739257812
1603161378.7029977,30001,-145.3007354736328
1603161489.6050565,40001,-128.12815856933594
1603161617.489297,50001,-116.86003875732422
1603161728.3519518,60001,-106.67679595947266
1603161828.122446,70001,-87.97406768798828
1603161938.8351717,80001,-62.58267593383789
1603162035.9794137,90001,-47.36509704589844
1603162134.9030542,100001,-27.324951171875
1603162234.8146446,110001,-7.49188232421875
1603162330.6993752,120001,14.444673538208008
1603162441.876272,130001,15.946694374084473
1603162532.1183755,140001,41.306888580322266
1603162631.9086413,150001,49.64773941040039
1603162725.4304516,160001,68.75228118896484
1603162824.9756918,170001,73.21337127685547
1603162916.3357341,180001,86.7761459350586
1603163004.1874506,190001,95.96887969970703
1603163102.6152534,200001,95.82024383544922
1603163190.597095,210001,100.50541687011719
1603163271.721447,220001,108.74755859375
1603163364.4376912,230001,101.88609313964844
1603163468.991181,240001,88.00529479980469
1603163570.0110068,250001,66.86026763916016
1603163659.7802665,260001,67.30829620361328
1603163749.4062688,270001,55.51471710205078
1603163829.698628,280001,81.2288589477539
1603163902.0552366,290001,115.92742156982422
1603163975.252467,300001,113.84465026855469
1603164036.5763683,310001,131.6057891845703
1603164099.8153923,320001,136.58367919921875
1603164151.5302835,330001,147.59576416015625
1603164204.1598353,340001,164.7347412109375
1603164259.2601838,350001,176.0937957763672
1603164311.8604572,360001,180.8491973876953
1603164364.1251514,370001,189.4031219482422
1603164421.4279175,380001,177.20779418945312
1603164476.052078,390001,148.06483459472656
1603164533.0723763,400001,128.8252716064453
1603164592.0159028,410001,111.93279266357422
1603164638.1217408,420001,132.12057495117188
1603164685.9582336,430001,139.46636962890625
1603164743.4505963,440001,113.53022003173828
1603164788.051007,450001,96.8687744140625
1603164827.0560539,460001,109.00092315673828
1603164865.8376083,470001,125.74846649169922
1603164904.5597272,480001,125.27859497070312
1603164940.647718,490001,129.02305603027344
